CorneioProcopio   PortoAlegre   1139.0
Ourinhos          SaoJoseDosCampos 455.0
Londrina          ItarareSP      308.0
MogiDasCruzes     PortoAlegre    1197.1
CorneioProcopio   Maringa        162.0
SiqueraCampos     Ourinhos       105.0
MogiDasCruzes     CorneioProcopio 525.0
SaoRoque         SiqueraCampos   576.0
BalnearioCamboriu Londrina      607.0
PortoAlegre      Bauru         1278.0
JoaquimTavora    BalnearioCamboriu 353.0
ItarareSP        Ubata        640.0
Londrina         SaoRoque      489.0
